Type,ID,text1,text2,unk,vert0,vert1,vert2,vert3
Tile,0,dirt,dirt,null,0,0,0,0
Tile,1,dirt,dirt,null,0,0,0,1
Tile,2,dirt,dirt,null,0,0,0,2
Tile,3,dirt,dirt,null,0,0,1,0
Tile,4,dirt,dirt,null,0,0,1,1
Tile,5,dirt,dirt,null,0,0,1,2
Tile,6,dirt,dirt,null,0,0,2,0
Tile,7,dirt,dirt,null,0,0,2,1
Tile,8,dirt,dirt,null,0,0,2,2
Tile,9,dirt,dirt,null,0,1,0,0
Tile,10,dirt,dirt,null,0,1,0,1
Tile,11,dirt,dirt,null,0,1,0,2
Tile,12,dirt,dirt,null,0,1,1,0
Tile,13,dirt,dirt,null,0,1,1,1
Tile,14,dirt,dirt,null,0,1,1,2
Tile,15,dirt,dirt,null,0,1,2,0
Tile,16,dirt,dirt,null,0,1,2,1
Tile,17,dirt,dirt,null,0,1,2,2
Tile,18,dirt,dirt,null,0,2,0,0
Tile,19,dirt,dirt,null,0,2,0,1
Tile,20,dirt,dirt,null,0,2,0,2
Tile,21,dirt,dirt,null,0,2,1,0
Tile,22,dirt,dirt,null,0,2,1,1
Tile,23,dirt,dirt,null,0,2,1,2
Tile,24,dirt,dirt,null,0,2,2,0
Tile,25,dirt,dirt,null,0,2,2,1
Tile,26,dirt,dirt,null,0,2,2,2
Tile,27,dirt,dirt,null,1,0,0,0
Tile,28,dirt,dirt,null,1,0,0,1
Tile,29,dirt,dirt,null,1,0,0,2
Tile,30,dirt,dirt,null,1,0,1,0
Tile,31,dirt,dirt,null,1,0,1,1
Tile,32,dirt,dirt,null,1,0,1,2
Tile,33,dirt,dirt,null,1,0,2,0
Tile,34,dirt,dirt,null,1,0,2,1
Tile,35,dirt,dirt,null,1,0,2,2
Tile,36,dirt,dirt,null,1,1,0,0
Tile,37,dirt,dirt,null,1,1,0,1
Tile,38,dirt,dirt,null,1,1,0,2
Tile,39,dirt,dirt,null,1,1,1,0
null,40,,,,,,,
null,41,,,,,,,
Tile,42,dirt,dirt,null,1,1,2,0
null,43,,,,,,,
null,44,,,,,,,
Tile,45,dirt,dirt,null,1,2,0,0
Tile,46,dirt,dirt,null,1,2,0,1
Tile,47,dirt,dirt,null,1,2,0,2
Tile,48,dirt,dirt,null,1,2,1,0
null,49,,,,,,,
null,50,,,,,,,
Tile,51,dirt,dirt,null,1,2,2,0
null,52,,,,,,,
null,53,,,,,,,
Tile,54,dirt,dirt,null,2,0,0,0
Tile,55,dirt,dirt,null,2,0,0,1
Tile,56,dirt,dirt,null,2,0,0,2
Tile,57,dirt,dirt,null,2,0,1,0
Tile,58,dirt,dirt,null,2,0,1,1
Tile,59,dirt,dirt,null,2,0,1,2
Tile,60,dirt,dirt,null,2,0,2,0
Tile,61,dirt,dirt,null,2,0,2,1
Tile,62,dirt,dirt,null,2,0,2,2
Tile,63,dirt,dirt,null,2,1,0,0
Tile,64,dirt,dirt,null,2,1,0,1
Tile,65,dirt,dirt,null,2,1,0,2
Tile,66,dirt,dirt,null,2,1,1,0
null,67,,,,,,,
null,68,,,,,,,
Tile,69,dirt,dirt,null,2,1,2,0
null,70,,,,,,,
null,71,,,,,,,
Tile,72,dirt,dirt,null,2,2,0,0
Tile,73,dirt,dirt,null,2,2,0,1
Tile,74,dirt,dirt,null,2,2,0,2
Tile,75,dirt,dirt,null,2,2,1,0
null,76,,,,,,,
null,77,,,,,,,
Tile,78,dirt,dirt,null,2,2,2,0
Tile,79,grass,grass,null,0,0,0,0
Tile,80,grass,grass,null,0,0,0,1
Tile,81,grass,grass,null,0,0,0,2
Tile,82,grass,grass,null,0,0,1,0
Tile,83,grass,grass,null,0,0,1,1
Tile,84,grass,grass,null,0,0,1,2
Tile,85,grass,grass,null,0,0,2,0
Tile,86,grass,grass,null,0,0,2,1
Tile,87,grass,grass,null,0,0,2,2
Tile,88,grass,grass,null,0,1,0,0
Tile,89,grass,grass,null,0,1,0,1
Tile,90,grass,grass,null,0,1,0,2
Tile,91,grass,grass,null,0,1,1,0
Tile,92,grass,grass,null,0,1,1,1
Tile,93,grass,grass,null,0,1,1,2
Tile,94,grass,grass,null,0,1,2,0
Tile,95,grass,grass,null,0,1,2,1
Tile,96,grass,grass,null,0,1,2,2
Tile,97,grass,grass,null,0,2,0,0
Tile,98,grass,grass,null,0,2,0,1
Tile,99,grass,grass,null,0,2,0,2
Tile,100,grass,grass,null,0,2,1,0
Tile,101,grass,grass,null,0,2,1,1
Tile,102,grass,grass,null,0,2,1,2
Tile,103,grass,grass,null,0,2,2,0
Tile,104,grass,grass,null,0,2,2,1
Tile,105,grass,grass,null,0,2,2,2
Tile,106,grass,grass,null,1,0,0,0
Tile,107,grass,grass,null,1,0,0,1
Tile,108,grass,grass,null,1,0,0,2
Tile,109,grass,grass,null,1,0,1,0
Tile,110,grass,grass,null,1,0,1,1
Tile,111,grass,grass,null,1,0,1,2
Tile,112,grass,grass,null,1,0,2,0
Tile,113,grass,grass,null,1,0,2,1
Tile,114,grass,grass,null,1,0,2,2
Tile,115,grass,grass,null,1,1,0,0
Tile,116,grass,grass,null,1,1,0,1
Tile,117,grass,grass,null,1,1,0,2
Tile,118,grass,grass,null,1,1,1,0
null,119,,,,,,,
null,120,,,,,,,
Tile,121,grass,grass,null,1,1,2,0
null,122,,,,,,,
null,123,,,,,,,
Tile,124,grass,grass,null,1,2,0,0
Tile,125,grass,grass,null,1,2,0,1
Tile,126,grass,grass,null,1,2,0,2
Tile,127,grass,grass,null,1,2,1,0
null,128,,,,,,,
null,129,,,,,,,
Tile,130,grass,grass,null,1,2,2,0
null,131,,,,,,,
null,132,,,,,,,
Tile,133,grass,grass,null,2,0,0,0
Tile,134,grass,grass,null,2,0,0,1
Tile,135,grass,grass,null,2,0,0,2
Tile,136,grass,grass,null,2,0,1,0
Tile,137,grass,grass,null,2,0,1,1
Tile,138,grass,grass,null,2,0,1,2
Tile,139,grass,grass,null,2,0,2,0
Tile,140,grass,grass,null,2,0,2,1
Tile,141,grass,grass,null,2,0,2,2
Tile,142,grass,grass,null,2,1,0,0
Tile,143,grass,grass,null,2,1,0,1
Tile,144,grass,grass,null,2,1,0,2
Tile,145,grass,grass,null,2,1,1,0
null,146,,,,,,,
null,147,,,,,,,
Tile,148,grass,grass,null,2,1,2,0
null,149,,,,,,,
null,150,,,,,,,
Tile,151,grass,grass,null,2,2,0,0
Tile,152,grass,grass,null,2,2,0,1
Tile,153,grass,grass,null,2,2,0,2
Tile,154,grass,grass,null,2,2,1,0
null,155,,,,,,,
null,156,,,,,,,
Tile,157,grass,grass,null,2,2,2,0
Tile,158,ruff,ruff,null,0,0,0,0
Tile,159,ruff,ruff,null,0,0,0,1
Tile,160,ruff,ruff,null,0,0,0,2
Tile,161,ruff,ruff,null,0,0,1,0
Tile,162,ruff,ruff,null,0,0,1,1
Tile,163,ruff,ruff,null,0,0,1,2
Tile,164,ruff,ruff,null,0,0,2,0
Tile,165,ruff,ruff,null,0,0,2,1
Tile,166,ruff,ruff,null,0,0,2,2
Tile,167,ruff,ruff,null,0,1,0,0
Tile,168,ruff,ruff,null,0,1,0,1
Tile,169,ruff,ruff,null,0,1,0,2
Tile,170,ruff,ruff,null,0,1,1,0
Tile,171,ruff,ruff,null,0,1,1,1
Tile,172,ruff,ruff,null,0,1,1,2
Tile,173,ruff,ruff,null,0,1,2,0
Tile,174,ruff,ruff,null,0,1,2,1
Tile,175,ruff,ruff,null,0,1,2,2
Tile,176,ruff,ruff,null,0,2,0,0
Tile,177,ruff,ruff,null,0,2,0,1
Tile,178,ruff,ruff,null,0,2,0,2
Tile,179,ruff,ruff,null,0,2,1,0
Tile,180,ruff,ruff,null,0,2,1,1
Tile,181,ruff,ruff,null,0,2,1,2
Tile,182,ruff,ruff,null,0,2,2,0
Tile,183,ruff,ruff,null,0,2,2,1
Tile,184,ruff,ruff,null,0,2,2,2
Tile,185,ruff,ruff,null,1,0,0,0
Tile,186,ruff,ruff,null,1,0,0,1
Tile,187,ruff,ruff,null,1,0,0,2
Tile,188,ruff,ruff,null,1,0,1,0
Tile,189,ruff,ruff,null,1,0,1,1
Tile,190,ruff,ruff,null,1,0,1,2
Tile,191,ruff,ruff,null,1,0,2,0
Tile,192,ruff,ruff,null,1,0,2,1
Tile,193,ruff,ruff,null,1,0,2,2
Tile,194,ruff,ruff,null,1,1,0,0
Tile,195,ruff,ruff,null,1,1,0,1
Tile,196,ruff,ruff,null,1,1,0,2
Tile,197,ruff,ruff,null,1,1,1,0
null,198,,,,,,,
null,199,,,,,,,
Tile,200,ruff,ruff,null,1,1,2,0
null,201,,,,,,,
null,202,,,,,,,
Tile,203,ruff,ruff,null,1,2,0,0
Tile,204,ruff,ruff,null,1,2,0,1
